variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
31.69388#32.77551#69.71429#71.7551#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.09027221217681401,0.020557299999999997,0.12721806534090913,0.03714805,177,528
40.34694#41.42857#28.89796#30.93878#Bombing_Explosion-Facility_Infrastructure_Attack,0.06628663011811024,0.0235808,0.324810190989011,0.488671,205,455
36.02041#37.10204#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.06138926888,0.02071655,0.20683105170454547,0.20380900000000002,207,352
34.93878#36.02041#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.10345427890818858,0.019668249999999998,0.03733483642960813,0.0197491,179,689
33.85714#34.93878#67.67347#69.71429#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07373455440528635,0.019322199999999998,0.044471436111111116,0.014606999999999998,183,720
31.69388#32.77551#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.0779357586919105,0.017995999999999998,0.04128120744878957,0.0266748,176,537
36.02041#37.10204#2.36735#4.40816#Bombing_Explosion-Facility_Infrastructure_Attack,0.13713481778656125,0.021474700000000003,0.03993082678571429,0.0194514,174,784
13.30612#14.38776#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.06898186398891967,0.029031500000000002,0.30076294878048776,0.484718,205,410
33.85714#34.93878#73.79592#75.83673#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06743094464285715,0.0189671,0.09544038530259366,0.027837200000000003,158,347
34.93878#36.02041#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.14060202615803813,0.01950325,0.0519061857300885,0.0199011,171,904
1.40816#2.4898#45.22449#47.26531#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.09718311998050683,0.0194055,0.07117831561085973,0.020109299999999997,183,884
14.38776#15.46939#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0862185549127182,0.0374392,0.33415546331168827,0.491944,196,308
11.14286#12.22449#12.57143#14.61224#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08517258524738992,0.0371439,0.2556753601431981,0.317717,169,419
36.02041#37.10204#41.14286#43.18367#Bombing_Explosion-Facility_Infrastructure_Attack,0.1231631969581749,0.018724900000000003,0.04481294693877551,0.0217205,173,931
