lattgt1 lattgt2 lontgt1 lontgt2 vartgt auc
32.0 32.79592 34.69388 36.10204 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.810052
32.0 32.79592 34.69388 36.10204 Bombing_Explosion-Facility_Infrastructure_Attack 0.85465
32.0 32.79592 34.69388 36.10204 VAR 0.8493709999999999
32.0 32.79592 41.73469 43.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8481989999999999
32.0 32.79592 41.73469 43.14286 VAR 0.611869
32.0 32.79592 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.749525
32.0 32.79592 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.788407
32.0 32.79592 43.14286 44.55102 VAR 0.765728
32.0 32.79592 44.55102 45.95918 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.7327560000000001
32.0 32.79592 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.895597
32.0 32.79592 44.55102 45.95918 VAR 0.83162
32.79592 33.591840000000005 34.69388 36.10204 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.973791
32.79592 33.591840000000005 34.69388 36.10204 Bombing_Explosion-Facility_Infrastructure_Attack 0.799574
32.79592 33.591840000000005 34.69388 36.10204 VAR 0.771555
32.79592 33.591840000000005 36.10204 37.5102 Bombing_Explosion-Facility_Infrastructure_Attack 0.631306
32.79592 33.591840000000005 36.10204 37.5102 VAR 0.662678
32.79592 33.591840000000005 38.91837 40.32653 VAR 0.816938
32.79592 33.591840000000005 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.784335
32.79592 33.591840000000005 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.908799
32.79592 33.591840000000005 43.14286 44.55102 VAR 0.931722
32.79592 33.591840000000005 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.953103
32.79592 33.591840000000005 44.55102 45.95918 VAR 0.965515
33.591840000000005 34.38776 34.69388 36.10204 Bombing_Explosion-Facility_Infrastructure_Attack 0.860684
33.591840000000005 34.38776 34.69388 36.10204 VAR 0.8482719999999999
33.591840000000005 34.38776 40.32653 41.73469 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8222729999999999
33.591840000000005 34.38776 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.979308
33.591840000000005 34.38776 40.32653 41.73469 VAR 0.733107
33.591840000000005 34.38776 41.73469 43.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.891183
33.591840000000005 34.38776 41.73469 43.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.7386229999999999
33.591840000000005 34.38776 41.73469 43.14286 VAR 0.7316199999999999
33.591840000000005 34.38776 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.709858
33.591840000000005 34.38776 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.728534
33.591840000000005 34.38776 43.14286 44.55102 VAR 0.773849
33.591840000000005 34.38776 44.55102 45.95918 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.7398399999999999
33.591840000000005 34.38776 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.7495310000000001
33.591840000000005 34.38776 44.55102 45.95918 VAR 0.762835
34.38776 35.18367 36.10204 37.5102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.664876
34.38776 35.18367 36.10204 37.5102 VAR 0.691303
34.38776 35.18367 40.32653 41.73469 VAR 0.851841
34.38776 35.18367 41.73469 43.14286 VAR 0.921205
34.38776 35.18367 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.767786
34.38776 35.18367 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.721067
34.38776 35.18367 43.14286 44.55102 VAR 0.706759
34.38776 35.18367 44.55102 45.95918 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.798888
34.38776 35.18367 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.754137
34.38776 35.18367 44.55102 45.95918 VAR 0.750915
35.18367 35.97959 7.93878 9.34694 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.871401
35.18367 35.97959 41.73469 43.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.953088
35.18367 35.97959 41.73469 43.14286 VAR 0.869749
35.18367 35.97959 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.804126
35.18367 35.97959 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.787409
35.18367 35.97959 43.14286 44.55102 VAR 0.744275
35.18367 35.97959 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.832799
35.18367 35.97959 44.55102 45.95918 VAR 0.8412430000000001
35.18367 35.97959 45.95918 47.36735 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.556355
35.18367 35.97959 45.95918 47.36735 VAR 0.830284
35.18367 35.97959 50.18367 51.59184000000001 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.702432
35.18367 35.97959 50.18367 51.59184000000001 VAR 0.902328
35.97959 36.77551 2.30612 3.71429 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.986207
35.97959 36.77551 2.30612 3.71429 VAR 0.6384569999999999
35.97959 36.77551 3.71429 5.12245 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.837583
35.97959 36.77551 3.71429 5.12245 Bombing_Explosion-Facility_Infrastructure_Attack 0.760696
35.97959 36.77551 3.71429 5.12245 VAR 0.779676
35.97959 36.77551 36.10204 37.5102 Bombing_Explosion-Facility_Infrastructure_Attack 0.647265
35.97959 36.77551 36.10204 37.5102 VAR 0.868353
35.97959 36.77551 40.32653 41.73469 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.870295
35.97959 36.77551 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.8275309999999999
35.97959 36.77551 40.32653 41.73469 VAR 0.802614
35.97959 36.77551 41.73469 43.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8753209999999999
35.97959 36.77551 41.73469 43.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.8304030000000001
35.97959 36.77551 41.73469 43.14286 VAR 0.8774569999999999
35.97959 36.77551 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.7327859999999999
35.97959 36.77551 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.782528
35.97959 36.77551 43.14286 44.55102 VAR 0.816012
36.77551 37.57143 3.71429 5.12245 VAR 0.925517
36.77551 37.57143 33.285709999999995 34.69388 Bombing_Explosion-Facility_Infrastructure_Attack 0.684186
36.77551 37.57143 33.285709999999995 34.69388 VAR 0.683867
36.77551 37.57143 34.69388 36.10204 VAR 0.927122
36.77551 37.57143 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.975069
36.77551 37.57143 40.32653 41.73469 VAR 0.717041
36.77551 37.57143 41.73469 43.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.796571
36.77551 37.57143 41.73469 43.14286 VAR 0.795
36.77551 37.57143 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.685129
36.77551 37.57143 43.14286 44.55102 VAR 0.871718
