variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
37.57143#38.36735#23.42857#24.83673#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08487278672627234,0.033932500000000004,0.20188680599730457,0.106224,624,1484
39.95918#40.7551#22.02041#23.42857#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11065124681504221,0.0808446,0.12963602676056335,0.08928115,320,284
44.73469#45.53061#7.93878#9.34694#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.36987044517647066,0.45427,0.2521036624,0.21859499999999998,262,125
35.18367#35.97959#0.89796#2.30612#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.34000945993150683,0.44390549999999995,0.2707939433962265,0.144492,176,159
42.34694#43.14286#19.20408#20.61224#Bombing_Explosion-Facility_Infrastructure_Attack,0.08160946359201775,0.056983400000000003,0.2594925908918406,0.13943699999999998,429,527
43.14286#43.93878#45.95918#47.36735#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11229013756166314,0.023891,0.10987895587557604,0.05005755,266,1736
41.55102#42.34694#22.02041#23.42857#Bombing_Explosion-Facility_Infrastructure_Attack,0.3494045386759582,0.45414,0.20653634090909093,0.106097,156,132
35.97959#36.77551#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.07297523209764918,0.0365288,0.22069876647058823,0.1006455,577,1870
43.93878#44.73469#43.14286#44.55102#Bombing_Explosion-Facility_Infrastructure_Attack,0.20739135871559633,0.101779,0.2482567483870968,0.143517,178,186
49.5102#50.30612#29.06122#30.46939#Bombing_Explosion-Facility_Infrastructure_Attack,0.337297981372549,0.441719,0.2665246417218543,0.144394,188,151
42.34694#43.14286#41.73469#43.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.3172041511627907,0.44622700000000004,0.24225653245614034,0.143155,119,114
46.32653#47.12245#30.46939#31.87755#Bombing_Explosion-Facility_Infrastructure_Attack,0.16746974188322647,0.0399582,0.08356332474964234,0.042767400000000004,482,2796
38.36735#39.16327#26.2449#27.65306#Bombing_Explosion-Facility_Infrastructure_Attack,0.08351468740661687,0.0607735,0.23167344227642275,0.107765,478,738
53.4898#54.28571#12.16327#13.57143#Bombing_Explosion-Facility_Infrastructure_Attack,0.3884547804195804,0.454313,0.2464494637096774,0.14334599999999997,252,248
51.89796#52.69388#12.16327#13.57143#Bombing_Explosion-Facility_Infrastructure_Attack,0.09128162765351769,0.0310025,0.19404272903405917,0.09476339999999998,532,1791
47.91837#48.71429#43.14286#44.55102#Bombing_Explosion-Facility_Infrastructure_Attack,0.11310046281540505,0.0642268,0.20047683962804005,0.179331,252,699
37.57143#38.36735#40.32653#41.73469#Bombing_Explosion-Facility_Infrastructure_Attack,0.12481176372757677,0.0222947,0.21201537076595747,0.1420785,923,2350
43.14286#43.93878#43.14286#44.55102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07633965967270602,0.0258718,0.07300712558635396,0.049475050000000007,421,938
36.77551#37.57143#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.11136849426877471,0.038271349999999996,0.0938143766286645,0.05946635,210,2456
44.73469#45.53061#19.20408#20.61224#Bombing_Explosion-Facility_Infrastructure_Attack,0.33871981921824107,0.454114,0.23172186583333335,0.1252895,169,120
39.95918#40.7551#23.42857#24.83673#Bombing_Explosion-Facility_Infrastructure_Attack,0.11014415841750842,0.07275145,0.285000495,0.17045349999999998,219,220
43.93878#44.73469#44.55102#45.95918#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.37569977506702407,0.454284,0.23502544390243904,0.143204,211,246
32.79592#33.59184#12.16327#13.57143#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.15624000971847282,0.029212400000000003,0.058312826402321084,0.018400149999999997,430,3102
32.0#32.79592#10.7551#12.16327#Bombing_Explosion-Facility_Infrastructure_Attack,0.33058920032258066,0.427608,0.2689681148387097,0.144451,178,155
32.79592#33.59184#40.32653#41.73469#Bombing_Explosion-Facility_Infrastructure_Attack,0.09475689941886455,0.0732493,0.275993413583815,0.15229199999999998,439,346
44.73469#45.53061#6.53061#7.93878#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.3285873328301887,0.454041,0.21659840400000002,0.106108,142,125
42.34694#43.14286#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.10260587971415398,0.0749189,0.26508863111111114,0.14471900000000001,392,405
41.55102#42.34694#7.93878#9.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.060797531165203506,0.030193949999999997,0.2352906228717949,0.10773599999999998,554,975
52.69388#53.4898#-10.36735#-8.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.3529648965753424,0.454176,0.219858675,0.10647200000000001,160,128
39.16327#39.95918#38.91837#40.32653#Bombing_Explosion-Facility_Infrastructure_Attack,0.09593739597667639,0.053367250000000005,0.2014700855803048,0.130519,492,1706
55.08163#55.87755#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.08749130576283709,0.061511199999999995,0.26901179820359283,0.13853,487,501
