,x,xdot
1e-06,4.16666e-19,1.2500000000000001e-12
6e-06,8.99993e-17,4.49996e-11
3.1e-05,1.24124e-14,1.20119e-09
0.000156,1.58153e-12,3.04121e-08
0.000781,1.98298e-10,7.6146e-07
0.003906,2.4709699999999998e-08,1.89474e-05
0.019531,3.0298500000000003e-06,0.00046164599999999996
0.07262139999999999,0.000146015,0.00585667
0.137847,0.0009248160000000001,0.0190578
0.20808200000000002,0.00293745,0.039080300000000005
0.283037,0.00681156,0.06489919999999999
0.36346100000000003,0.013255100000000002,0.0957402
0.450643,0.0231326,0.131051
0.5469510000000001,0.03766130000000001,0.17064300000000002
0.658307,0.05917480000000001,0.215443
0.777812,0.0876632,0.260728
0.8973180000000001,0.121325,0.301836
1.0004600000000001,0.154111,0.333217
1.10361,0.189916,0.360309
1.20675,0.228278,0.382753
1.30989,0.268703,0.400275
1.41304,0.310673,0.412675
1.5161799999999999,0.353652,0.41981999999999997
1.61932,0.397094,0.42163999999999996
1.7224700000000002,0.44044799999999995,0.418128
1.82561,0.483166,0.40933400000000003
1.9287599999999998,0.52471,0.395367
2.0319,0.564553,0.376391
2.13504,0.60219,0.352623
2.2381900000000003,0.637139,0.324334
2.34133,0.6689510000000001,0.29183899999999996
2.44447,0.69721,0.2555
2.54762,0.721539,0.215719
2.65076,0.741607,0.172934
2.75391,0.7571260000000001,0.127615
2.85705,0.767862,0.0802579
2.9601900000000003,0.77363,0.0313815
3.06586,0.774253,-0.0197062
3.17594,0.76913,-0.0734015
3.29264,0.757249,-0.130114
3.4207300000000003,0.7366520000000001,-0.191194
3.58149,0.699956,-0.264592
3.70229,0.664837,-0.316271
3.82309,0.6237,-0.364106
3.94389,0.5770529999999999,-0.407382
4.0473,0.533188,-0.440313
4.15071,0.48613100000000004,-0.469062
4.2541199999999995,0.436332,-0.49331099999999994
4.357530000000001,0.384269,-0.512791
4.46094,0.330448,-0.527281
4.56435,0.275394,-0.536618
4.6677599999999995,0.21964499999999998,-0.54069
4.77117,0.163751,-0.539445
4.87458,0.10826,-0.532885
4.978,0.0537201,-0.521072
5.08141,0.0006685819999999999,-0.5041220000000001
5.184819999999999,-0.0503718,-0.48220799999999997
5.28823,-0.09889869999999999,-0.455553
5.39164,-0.14443599999999998,-0.42443500000000006
5.49505,-0.186538,-0.389177
5.59846,-0.224796,-0.350147
5.7018699999999995,-0.25884,-0.30775399999999997
5.805280000000001,-0.28834499999999996,-0.262443
5.90869,-0.31303400000000003,-0.214691
6.0121,-0.332681,-0.164999
6.11551,-0.347111,-0.113891
6.22167,-0.35637399999999997,-0.0605159
6.33248,-0.35997399999999996,-0.00446253
6.4503,-0.357002,0.05477919999999999
6.58064,-0.345661,0.118915
6.7229399999999995,-0.323921,0.18603699999999998
6.84466,-0.297952,0.240069
6.96638,-0.265639,0.290145
