,mn,U,L
s1,49.754889133581614,50.31927506209078,49.19050320507243
s2,55.7320410775447,56.30579577480134,55.15828638028805
s3,72.357555440313,73.2619775700856,71.45313331054041
s4,64.69722661483297,65.40888201316487,63.98557121650106
s5,61.16307438608326,61.876120447641256,60.450028324525235
s6,57.440277336322794,57.809032336977914,57.071522335667645
s7,60.52968585956214,61.30625818012958,59.75311353899468
s8,56.98866755368733,57.93134315736116,56.04599195001348
s9,55.84364488352548,56.9345308416245,54.75275892542644
s10,67.19930987737766,68.48198054001475,65.91663921474057
s11,75.9394586968597,78.02025191992647,73.85866547379291
s12,59.440531764676685,61.575835017289336,57.30522851206402
s13,59.59820581383902,61.62418947872858,57.57222214894944
s14,55.47256995610522,56.8925297006624,54.05261021154802
s15,60.987757207487256,62.869665125405014,59.105849289569484
s16,52.77662572906202,54.07380112001146,51.479450338112564
s17,66.51908179864388,68.04432548322893,64.99383811405882
s18,66.38623235829633,67.2034554378065,65.56900927878613
s19,55.023476123405814,55.844170703532754,54.20278154327886
s20,56.752511473781055,57.088060173952464,56.41696277360963
s21,67.09049333199877,67.5546560218781,66.62633064211941
s22,63.23818395333999,63.67509068220224,62.80127722447773
s23,57.842547144460724,58.61431294214788,57.07078134677355
s24,62.05298686668173,63.30854653201591,60.79742720134753
s25,61.70237977021654,62.898728258293225,60.506031282139816
s26,58.80748947074277,59.359186878985824,58.25579206249971
s27,59.28036867276076,60.66189953756475,57.89883780795674
s28,59.265357648841814,59.86470545184791,58.66600984583569
s29,59.548862829123735,60.314819971626804,58.78290568662065
s30,61.07981561544526,62.25946453821902,59.90016669267149
